id,subject,sender_name,sender_address,received_datetime,web_link,body_preview,body
ass-001,Complete your coding assessment,Northstar Careers,careers@northstar.io,2026-06-04T12:00:00.000Z,https://outlook.office.com/mail/ass-001,Please complete the coding assessment within the next 5 days.,As the next step in our process please complete the coding assessment within the next 5 days using the link below.
ass-002,Online assessment invitation,Oritain Talent,talent@oritain.com,2026-06-04T12:05:00.000Z,https://outlook.office.com/mail/ass-002,You have been invited to take a short online assessment.,You have been invited to take a short online assessment. Please complete it before Friday to remain in consideration.
ass-003,Pfizer skills test request,Pfizer Recruiting,recruitment@pfizer.com,2026-06-04T12:10:00.000Z,https://outlook.office.com/mail/ass-003,The next step is a skills based assessment.,The next step in our hiring process is a skills based assessment. Please submit your responses within 72 hours.
ass-004,Take-home exercise,Acme Hiring Team,hiring@acme.dev,2026-06-04T12:15:00.000Z,https://outlook.office.com/mail/ass-004,Please review and complete the attached take-home exercise.,Please review and complete the attached take-home exercise. Return your submission by Monday at noon.
ass-005,Assessment platform link,Blue River People Ops,peopleops@blueriver.ai,2026-06-04T12:20:00.000Z,https://outlook.office.com/mail/ass-005,Use this link to begin your assessment.,Use this link to begin your assessment. You can pause and return later but please complete it within 3 days.
ass-006,Case study assignment,Lattice Recruiting,recruiting@lattice.com,2026-06-04T12:25:00.000Z,https://outlook.office.com/mail/ass-006,We would like you to complete a short case study.,We would like you to complete a short case study as part of the next stage. Instructions are included below.
ass-007,Practical task for your application,Vertex Talent Team,talent@vertex.io,2026-06-04T12:30:00.000Z,https://outlook.office.com/mail/ass-007,Please complete the practical task attached to this email.,Please complete the practical task attached to this email and reply with your solution by the end of the week.
ass-008,Timed assessment instructions,Nimbus Recruiting,recruiting@nimbus.dev,2026-06-04T12:35:00.000Z,https://outlook.office.com/mail/ass-008,Your timed assessment is now available.,Your timed assessment is now available. You will have 90 minutes once you begin. Please complete it within the next 48 hours.
ass-009,Technical challenge for Harbor Labs,Harbor Labs Careers,careers@harborlabs.com,2026-06-04T12:40:00.000Z,https://outlook.office.com/mail/ass-009,The hiring team would like you to complete a technical challenge.,The hiring team would like you to complete a technical challenge. Submit your work using the portal link by Sunday evening.
ass-010,Quanta application assessment,Quanta Hiring,hiring@quanta.systems,2026-06-04T12:45:00.000Z,https://outlook.office.com/mail/ass-010,Please complete the following assessment to continue.,Please complete the following assessment to continue in the process. We will review your submission once it is received.
