id,subject,sender_name,sender_address,received_datetime,web_link,body_preview,body
rej-001,Update on your Platform Backend Engineer application,Astera Grid Careers,careers@asteragrid.io,2026-06-07T09:00:00.000Z,https://outlook.office.com/mail/rej-001,"Thank you for your interest in the Platform Backend Engineer role. We will not be moving forward.","Thank you for your interest in the Platform Backend Engineer role at Astera Grid. After reviewing your application and process materials, we have decided not to move forward with your candidacy at this time."
rej-002,Senior Data Platform Engineer application update,Vellis Labs Talent,talent@vellislabs.dev,2026-06-07T09:05:00.000Z,https://outlook.office.com/mail/rej-002,"We appreciate your time, but we will not be progressing your Senior Data Platform Engineer application.","We appreciate the time you invested in the process for the Senior Data Platform Engineer role at Vellis Labs. After careful consideration, we will not be progressing your application further."
rej-003,Staff ML Infrastructure Engineer recruitment update,Northforge Systems Recruiting,recruiting@northforge.systems,2026-06-07T09:10:00.000Z,https://outlook.office.com/mail/rej-003,"After careful consideration, we will not be moving ahead with your Staff ML Infrastructure Engineer application.","After careful consideration of your application for the Staff ML Infrastructure Engineer role at Northforge Systems, we have decided not to move ahead with your candidacy."
rej-004,Outcome of your Product Security Engineer application,HarborMesh People Ops,people@harbormesh.ai,2026-06-07T09:15:00.000Z,https://outlook.office.com/mail/rej-004,"Unfortunately, we have chosen to proceed with other candidates for Product Security Engineer.","Thank you for applying to HarborMesh for the Product Security Engineer role. Unfortunately, we have chosen to proceed with other candidates whose experience more closely matches our current needs."
rej-005,Application status for Site Reliability Engineer,Cinder Path Recruiting,recruiting@cinderpath.cloud,2026-06-07T09:20:00.000Z,https://outlook.office.com/mail/rej-005,"We will not be taking your Site Reliability Engineer application to the next stage.","Following our review of your application for the Site Reliability Engineer role at Cinder Path, we will not be taking your application to the next stage of the hiring process."
rej-006,Thank you for your interest in the AI Systems Engineer role,Mint Harbor Talent,careers@mintharbor.tech,2026-06-07T09:25:00.000Z,https://outlook.office.com/mail/rej-006,"We have decided to close your application for the AI Systems Engineer role.","Thank you for your interest in Mint Harbor. We have decided to close your application for the AI Systems Engineer role and move forward with other applicants."
rej-007,Decision regarding your Backend Systems Engineer application,Quartz Loop Careers,careers@quartzloop.dev,2026-06-07T09:30:00.000Z,https://outlook.office.com/mail/rej-007,"We won't be advancing your Backend Systems Engineer candidacy at this stage.","After reviewing your background for the Backend Systems Engineer role at Quartz Loop, we won't be advancing your candidacy at this stage. We appreciate your interest in the company."
rej-008,Cloud Platform Engineer process update,Radian Bloom Talent,talent@radianbloom.io,2026-06-07T09:35:00.000Z,https://outlook.office.com/mail/rej-008,"We have decided not to proceed further with your Cloud Platform Engineer application.","Thank you again for your interest in the Cloud Platform Engineer role at Radian Bloom. After review, we have decided not to proceed further with your application."
rej-009,Next steps on your Applied AI Engineer application,Sable Circuit Recruiting,recruiting@sablecircuit.ai,2026-06-07T09:40:00.000Z,https://outlook.office.com/mail/rej-009,"At this time, we are unable to offer you progression in the Applied AI Engineer process.","At this time, we are unable to offer you progression in the process for the Applied AI Engineer role at Sable Circuit. We appreciate the effort you put into your application."
rej-010,Software Engineer - Platform application update,Twinfjord Labs Hiring,hiring@twinfjordlabs.dev,2026-06-07T09:45:00.000Z,https://outlook.office.com/mail/rej-010,"We have decided to move forward with other candidates for Software Engineer - Platform.","We have completed our review for the Software Engineer - Platform role at Twinfjord Labs and decided to move forward with other candidates. Thank you for your interest in the company."
